Species,BBE_AE,BBE_AN,CNA_AE,CNA_AN,CNAB_AE,CNAB_AN,MRS_AE,MRS_AN,MSA_AE,MSA_AN
Limosilactobacillus reuteri,0.01%,0.08%,0.13%,3.88%,0.96%,8.31%,33.07%,48.26%,0.01%,0.03%
Enterococcus faecalis,0.00%,0.05%,27.65%,2.14%,38.44%,3.36%,0.08%,0.01%,0.12%,0.41%
Ligilactobacillus salivarius,0.00%,0.15%,0.58%,0.80%,1.62%,2.20%,61.72%,1.45%,0.01%,0.09%
Enterococcus cecorum,0.00%,0.35%,0.00%,28.72%,6.71%,17.49%,0.00%,0.02%,0.00%,0.19%
Enterococcus sp. FDAARGOS_375,0.00%,0.00%,25.93%,2.61%,13.87%,1.37%,0.00%,0.00%,0.00%,0.06%
Lactobacillus johnsonii,0.00%,0.03%,20.39%,0.98%,1.35%,3.71%,0.64%,6.17%,0.01%,0.01%
Bacteroides fragilis,0.00%,16.62%,0.00%,0.75%,0.00%,0.66%,0.00%,0.00%,0.00%,0.02%
Bacillus pumilus,0.00%,0.00%,0.18%,0.26%,0.86%,0.02%,0.00%,0.00%,1.99%,9.07%
Lactobacillus vaginalis,0.00%,0.01%,0.00%,0.56%,1.48%,2.27%,0.07%,7.78%,0.00%,0.00%
Lactobacillus crispatus,0.00%,0.02%,0.01%,3.47%,0.00%,3.82%,0.93%,0.82%,0.01%,0.01%
Bacillus subtilis,0.00%,0.02%,0.00%,0.01%,0.00%,0.04%,0.00%,0.00%,1.32%,7.69%
Enterococcus hirae,0.00%,0.00%,0.01%,0.05%,0.05%,0.07%,0.00%,0.00%,8.58%,0.01%
Enterococcus sp. CR-Ec1,0.00%,0.00%,3.69%,0.39%,3.72%,0.43%,0.00%,0.00%,0.00%,0.00%
Eubacterium callanderi,0.00%,0.01%,0.00%,1.98%,0.00%,4.88%,0.00%,0.00%,0.00%,0.00%
Enterococcus faecium,0.00%,0.04%,0.12%,0.15%,0.30%,0.61%,0.00%,0.00%,1.66%,0.01%
Paenibacillus silagei,0.00%,0.00%,0.01%,0.00%,2.75%,0.00%,0.00%,0.00%,0.00%,0.00%
Lacrimispora saccharolytica,0.00%,0.00%,0.00%,1.09%,0.00%,1.01%,0.00%,0.00%,0.01%,0.00%
Bacillus altitudinis,0.00%,0.00%,0.00%,0.00%,1.62%,0.00%,0.00%,0.00%,0.40%,0.01%
Fournierella massiliensis,0.00%,0.01%,0.00%,0.32%,0.00%,1.47%,0.00%,0.00%,0.00%,0.01%
Lacrimispora amygdalina,0.00%,0.00%,0.00%,0.46%,0.00%,1.20%,0.00%,0.00%,0.00%,0.00%
