Medium,Condition,Genus,Abundance
BHI,AE,Escherichia,66.61%
BHI,AE,Proteus,32.92%
BHI,AE,Shigella,0.15%
BHI,AE,Laceyella,0.07%
BHI,AE,Enterobacter,0.06%
BHI,AE,Xenorhabdus,0.05%
BHI,AE,Other genus<0.05%,0.15%
MAC,AE,Escherichia,99.79%
MAC,AE,Laceyella,0.09%
MAC,AE,Shigella,0.06%
MAC,AE,Other genus<0.05%,0.06%
MSA,AE,Proteus,75.53%
MSA,AE,Enterococcus,10.44%
MSA,AE,Klebsiella,8.89%
MSA,AE,Bacillus,4.13%
MSA,AE,Escherichia,0.56%
MSA,AE,Faecalibacterium,0.10%
MSA,AE,Laceyella,0.06%
MSA,AE,Other genus<0.05%,0.29%
CBA,AE,Proteus,57.49%
CBA,AE,Escherichia,42.01%
CBA,AE,Shigella,0.13%
CBA,AE,Laceyella,0.09%
CBA,AE,Xenorhabdus,0.07%
CBA,AE,Enterobacter,0.06%
CBA,AE,Other genus<0.05%,0.17%
CBAB,AE,Escherichia,57.40%
CBAB,AE,Proteus,42.01%
CBAB,AE,Shigella,0.17%
CBAB,AE,Enterobacter,0.10%
CBAB,AE,Xenorhabdus,0.06%
CBAB,AE,Other genus<0.05%,0.26%
TSY,AE,Escherichia,58.81%
TSY,AE,Proteus,40.67%
TSY,AE,Shigella,0.12%
TSY,AE,Laceyella,0.09%
TSY,AE,Klebsiella,0.07%
TSY,AE,Enterobacter,0.05%
TSY,AE,Other genus<0.05%,0.20%
MRS,AE,Ligilactobacillus,61.72%
MRS,AE,Limosilactobacillus ,33.07%
MRS,AE,Lactobacillus,1.65%
MRS,AE,Escherichia,1.57%
MRS,AE,Pediococcus,1.02%
MRS,AE,Proteus,0.62%
MRS,AE,Laceyella,0.16%
MRS,AE,Enterococcus,0.08%
MRS,AE,Other genus<0.05%,0.12%
FAA,AE,Escherichia,68.04%
FAA,AE,Proteus,31.62%
FAA,AE,Shigella,0.13%
FAA,AE,Laceyella,0.06%
FAA,AE,Other genus<0.05%,0.15%
CNA,AE,Enterococcus,77.29%
CNA,AE,Lactobacillus,20.55%
CNA,AE,Limosilactobacillus ,0.13%
CNA,AE,Ligilactobacillus,0.58%
CNA,AE,Escherichia,0.45%
CNA,AE,Proteus,0.31%
CNA,AE,Bacillus,0.26%
CNA,AE,Laceyella,0.24%
CNA,AE,Pediococcus,0.08%
CNA,AE,Paenibacillus,0.06%
