#name,Medium,Bird,Air condition
barcode01,BHI,B01,AE
barcode02,MAC,B01,AE
barcode03,MSA,B01,AE
barcode04,CBA,B01,AE
barcode05,CBAB,B01,AE
barcode06,TSY,B01,AE
barcode07,MRS,B01,AE
barcode08,FAA,B01,AE
barcode09,CNA,B01,AE
barcode10,CNAB,B01,AE
barcode11,BBE,B01,AE
barcode12,KVLB,B01,AE
barcode13,M9,B01,AE
barcode14,M9I,B01,AE
barcode15,BHI,B02,AE
barcode16,MAC,B02,AE
barcode17,MSA,B02,AE
barcode18,CBA,B02,AE
barcode19,CBAB,B02,AE
barcode20,TSY,B02,AE
barcode21,MRS,B02,AE
barcode22,FAA,B02,AE
barcode23,CNA,B02,AE
barcode24,CNAB,B02,AE
barcode25,BBE,B02,AE
barcode26,KVLB,B02,AE
barcode27,M9I,B02,AE
barcode28,BHI,B03,AE
barcode29,MAC,B03,AE
barcode30,MSA,B03,AE
barcode31,CBA,B03,AE
barcode32,CBAB,B03,AE
barcode33,TSY,B03,AE
barcode34,MRS,B03,AE
barcode35,FAA,B03,AE
barcode36,CNA,B03,AE
barcode37,CNAB,B03,AE
barcode38,BBE,B03,AE
barcode39,KVLB,B03,AE
barcode40,M9,B03,AE
barcode41,M9I,B03,AE
barcode42,BHI,B04,AE
barcode43,MAC,B04,AE
barcode44,MSA,B04,AE
barcode45,CBA,B04,AE
barcode46,CBAB,B04,AE
barcode47,TSY,B04,AE
barcode48,MRS,B04,AE
barcode49,FAA,B04,AE
barcode50,CNA,B04,AE
barcode51,CNAB,B04,AE
barcode52,BBE,B04,AE
barcode53,KVLB,B04,AE
barcode54,M9,B04,AE
barcode55,M9I,B04,AE
barcode56,BHI,B05,AE
barcode57,MAC,B05,AE
barcode58,MSA,B05,AE
barcode59,CBA,B05,AE
barcode60,CBAB,B05,AE
barcode61,TSY,B05,AE
barcode62,MRS,B05,AE
barcode63,FAA,B05,AE
barcode64,CNA,B05,AE
barcode65,CNAB,B05,AE
barcode66,BBE,B05,AE
barcode67,KVLB,B05,AE
barcode68,M9,B05,AE
barcode69,M9I,B05,AE
barcode70,BHI,B06,AE
barcode71,MAC,B06,AE
barcode72,CBAB,B06,AE
barcode73,TSY,B06,AE
barcode74,MRS,B06,AE
barcode75,FAA,B06,AE
barcode76,CNA,B06,AE
barcode77,CNAB,B06,AE
barcode78,BBE,B06,AE
barcode79,KVLB,B06,AE
barcode80,M9,B06,AE
barcode81,M9I,B06,AE
barcode82,BHI,B01,AN
barcode83,MAC,B01,AN
barcode84,MSA,B01,AN
barcode85,CBA,B01,AN
barcode86,CBAB,B01,AN
barcode87,TSY,B01,AN
barcode88,MRS,B01,AN
barcode89,FAA,B01,AN
barcode90,CNA,B01,AN
barcode91,CNAB,B01,AN
barcode92,BBE,B01,AN
barcode93,KVLB,B01,AN
barcode94,M9,B01,AN
barcode95,M9I,B01,AN
barcode96,BHI,B02,AN
barcode97,MAC,B02,AN
barcode98,MSA,B02,AN
barcode99,CBA,B02,AN
barcode100,CBAB,B02,AN
barcode101,TSY,B02,AN
barcode102,MRS,B02,AN
barcode103,FAA,B02,AN
barcode104,CNA,B02,AN
barcode105,CNAB,B02,AN
barcode106,BBE,B02,AN
barcode107,KVLB,B02,AN
barcode108,M9,B02,AN
barcode109,M9I,B02,AN
barcode110,BHI,B03,AN
barcode111,MAC,B03,AN
barcode112,MSA,B03,AN
barcode113,CBA,B03,AN
barcode114,CBAB,B03,AN
barcode115,TSY,B03,AN
barcode116,MRS,B03,AN
barcode117,FAA,B03,AN
barcode118,CNA,B03,AN
barcode119,CNAB,B03,AN
barcode120,BBE,B03,AN
barcode121,KVLB,B03,AN
barcode122,M9I,B03,AN
barcode123,BHI,B04,AN
barcode124,MAC,B04,AN
barcode125,MSA,B04,AN
barcode126,CBA,B04,AN
barcode127,CBAB,B04,AN
barcode128,TSY,B04,AN
barcode129,MRS,B04,AN
barcode130,FAA,B04,AN
barcode131,CNA,B04,AN
barcode132,CNAB,B04,AN
barcode133,BBE,B04,AN
barcode134,KVLB,B04,AN
barcode135,M9,B04,AN
barcode136,M9I,B04,AN
barcode137,BHI,B05,AN
barcode138,MAC,B05,AN
barcode139,MSA,B05,AN
barcode140,CBA,B05,AN
barcode141,CBAB,B05,AN
barcode142,TSY,B05,AN
barcode143,MRS,B05,AN
barcode144,FAA,B05,AN
barcode145,CNA,B05,AN
barcode146,CNAB,B05,AN
barcode147,BBE,B05,AN
barcode148,KVLB,B05,AN
barcode149,BHI,B06,AN
barcode150,MAC,B06,AN
barcode151,MSA,B06,AN
barcode152,CBA,B06,AN
barcode153,CBAB,B06,AN
barcode154,TSY,B06,AN
barcode155,MRS,B06,AN
barcode156,FAA,B06,AN
barcode157,CNA,B06,AN
barcode158,CNAB,B06,AN
barcode159,BBE,B06,AN
barcode160,KVLB,B06,AN
barcode161,M9,B06,AN
